Table 1
"""The Regulation of Labor"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Quarterly Journal of Economics, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collective disputes,"Measures the protection of workers during collective disputes as the average of the following eight variables: (1) if wildcat, political and sympathy/solidarity/secondary strikes are legal (legal strikes); (2) if employer lockouts are illegal; (3) if workers have the right to industrial action; (4) if there is no mandatory waiting period or notification requirement before strikes can occur; (5) if striking is legal even if there is a collective agreement in force; (6) if laws do not mandate conciliation procedures before a strike; (7) if  third-party arbitration during a labor dispute is mandated by law; and (8) if it is illegal to fire or replace striking workers. ",index_col_disp13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collective relations laws index,Measures the protection of collective relations laws as the average of: (1) Labor union power and (2) Collective disputes.,index_industrial4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social security laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Old age, disability and death benefits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Social Security system covers the risk of old age, disability and death","Equals one if the social security system covers the risk of old age, disability and death, and zero otherwise. ",dummy_old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference between retirement age and life expectancy,"Measures the difference between the minimum legal age for normal retirement and the country's life expectancy at birth. This variable is normalized from 0 to 1, where higher values mean higher post-retirement life expectancy (higher protection).  Normal retirement is the legally defined age for retirement with standard pension, and it excludes voluntary early or late retirement schemes. Equals zero if life expectancy is lower than retirement age. The highest observation in our sample is 23.8 years and the lowest is 0. Source: constructed using data from the laws of each country and the Human Development Report, [1997].",old_age_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Months of contributions or employment required for  normal retirement by law,"Measures the number of months of contributions or employment legally required for normal retirement.  The variable is normalized from 0 to 1, where higher values mean less contribution (higher protection). The highest observation in our sample is 540 months and the lowest is 0. Normal retirement is the legally defined age for retirement with standard pension, and it excludes voluntary early or late retirement schemes. If the law requires the worker to have a combination of certain number of months of work and a different number of months of contributions, we use the higher of the two figures since this is the one that is binding.  Lump-sum and private pension systems do not define the number of months of contributions for normal retirement by law.  In such cases, the amount of the pension solely depends on the number of months of contributions, thus we assume twenty years of contributions for normal retirement.",old_cont_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of the worker's monthly salary deducted by law to cover old-age and disability benefits,"Measures the share of the worker's monthly salary deducted by law to cover old-age, disability, and death benefits.  The variable is normalized from 0 to 1, where higher values mean lower deductions (higher protection). If the risk of disability and death is not included in the contribution for old-age pension, we add the individual components. The highest observation in our sample is 20% and the lowest is 0. In some countries the social security contribution for old age, disability and death benefits also covers sickness and health benefits and/or unemployment benefits. In such cases, we calculate the share of contributions for each benefit for the average country in our sample, and apportion the total contribution among the several risks covered accordingly.",old_salary_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of the net pre-retirement salary covered by the net old-age cash-benefit pension in a case of a one-year pension spell,"This variable is the percentage of the net pre-retirement salary covered by the net old-age cash-benefit pension. The variable is normalized from 0 to 1, where higher values mean higher benefits (higher protection). The highest observation in our sample is 93.41% and the lowest is 0. For the countries that provide workers more than 12 pension payments a year, we add up the amount of all the payments and divided the total by 12 to get the equivalent ""monthly"" cash benefit pension. The gross pre-retirement salary is assumed to be equal to the country's GNP per worker. For each country we consider the relevant deductions and tax rates to transform gross income to net income. For lump-sum systems, where at the time of retirement a one-time payment is made equal to the worker's contributions plus accrued interest, the monthly old-age cash-benefit pension is calculated using the lump-sum payment divided by the difference between the average life expectancy and retirement age in months. The interest used in the calculation is the average monthly Libor rate over the previous ten years. The same methodology as in the lump-sum systems is applied to the private pension systems. If there are more than 12 pension payments per year we adjust the percentage accordingly.",old_cov_20_n2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Old age, disability and death benefits ","Measures the level of old age, disability and death benefits as the average of the following four normalized variables: (1) the difference between retirement age and life expectancy at birth; (2) the number of months of contributions or employment required for normal retirement by law; (3) the percentage of the worker's monthly salary deducted by law to cover old-age, disability, and death benefits; and (4) the percentage of the net pre-retirement salary covered by the net old-age cash-benefit pension.  ",index_old_202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sickness and health benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The social security system covers the risk of sickness ,Equals one if the social security system covers the risk of sickness and zero otherwise.,dummy_sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Months of contributions or employment required to qualify for sickness benefits by law,"Measures the number of months of contributions or employment legally required to qualify for sickness benefits. The variable is normalized from 0 to 1, where higher values mean less contribution (higher protection). The highest observation in our sample is 12 months and the lowest is 0. If the law requires the worker to have a combination of certain number of months of work and a different number of months of contributions, we use the higher of the two figures since this is the one that is binding. The highest observation in our sample is 12 months and the lowest is 0 months.",sick_cont_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of the worker's monthly salary deducted by law to cover sickness and health benefits ,"Measures the share of the worker's monthly salary deducted by law to cover sickness and health benefits.  The variable is normalized from 0 to 1, where higher values mean lower deductions (higher protection). If the risks of sickness and health demand separate contributions, we add the individual components. The highest observation in our sample is 11.8% and the lowest observation is 0. In some countries the social security contribution for old age, disability and death benefits also covers sickness and health benefits and/or unemployment benefits. In such cases, we calculate the share of contributions for each benefit for the average country in our sample, and apportion the total contribution among the several risks covered accordingly. ",sick_salary_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting period for sickness benefits,"Measures the waiting period for obtaining sickness cash benefits from the first day of sickness.  The variable is normalized from 0 to 1, where higher values mean lower waiting periods (higher protection). The waiting period is the number of days before a person is legally entitled to receive sickness benefits. The highest observation in our sample is 42 days and the lowest observation is 0.",sick_days_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of the net salary covered by the net sickness cash benefits for a two-month sickness spell,"Measures the percentage of the net salary covered by the net sickness cash benefit for a two-month sickness spell.  The variable is normalized from 0 to 1, where higher values mean higher percentage of net salary covered (higher protection).  The highest observation in our sample is 100% and the lowest observation is 0.  If sickness benefits last less than 2 months, the percentage of the benefits is discounted proportionally. For each country we consider the relevant deductions and tax rates to transform gross income to net income. Sickness cash benefits are defined in some countries as a fixed amount in local currency, rather than as a percentage of previous earnings. In such cases, the percentage of the net salary covered is calculated based on a salary equal to the country's net GNP per worker. ",sick_cov_n2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sickness and health benefits ,Measures the level of sickness and health benefit as the average of the following four normalized variables: (1) the number of months of contributions or employment required to qualify for sickness benefits by law; (2) the percentage of the worker’s monthly salary deducted by law to cover sickness and health benefits; (3) the waiting period for sickness benefits; and (4) the percentage of the net salary covered by the net sickness cash benefit for a two-month sickness spell.     ,index_sick2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployment benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Social Security system covers the risk of unemployment,"Equals one if the social security system covers the risk of unemployment, and zero otherwise.",dummy_unem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Months of contributions or employment required to qualify for unemployment benefits by law,"Measures the number of months of contributions or employment legally required to qualify for unemployment benefits.  The variable is normalized from 0 to 1, where higher values mean less contribution (higher protection). If the law requires the worker to have a combination of certain number of months of work and a different number of months of contributions, we use the higher of the two figures since this is the one that is binding. The highest observation in our sample is 120 months and the lowest observation is 0 months. ",unem_cont_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of the worker's monthly salary deducted by law to cover unemployment benefits,"Measures the share of the worker's monthly salary deducted by law to cover unemployment benefits.  The variable is normalized from 0 to 1, where higher values mean lower deductions (higher protection).  The highest observation in our sample is 6.1% and the lowest observation is 0.  In some countries the social security contribution for old age, disability and death benefits also covers sickness and health benefits and/or unemployment benefits. In such cases, we calculate the share of contributions for each benefit for the average country in our sample, and apportion the total contribution among the several risks covered.  ",unem_salary_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting period for unemployment benefits,"Measures the waiting period for obtaining unemployment benefits from the first day of unemployment.  The variable is normalized from 0 to 1, where higher values mean lower waiting periods (higher protection). The waiting period is the number of days before a person is legally entitled to receive unemployment benefits. The highest observation in our sample is 70 days and the lowest observation is 0.",unem_days_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of the net salary covered by the net unemployment benefits in case of a one-year unemployment spell,"Measures the percentage of the net salary covered by net unemployment benefits in the case of a one-year unemployment spell. The variable is normalized from 0 to 1, where higher values mean a higher percentage of net salary covered (higher protection). The highest observation in our sample is 81.49% and the lowest observation is 5.53%. If the maximum duration of benefits is less than a year, the percentage of the annual benefits is discounted proportionally. For each country we consider the relevant deductions and tax rates to transform gross income to net income. Unemployment benefits are defined in some countries as a fixed amount in local currency, rather than as a percentage of previous earnings. In such cases, the percentage of the net salary covered is calculated based on a salary equal to the country's net GNP per worker.",unem_covn2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployment benefits ,Measures the level of unemployment benefits as the average of the following four normalized variables: (1) the number of months of contributions or employment required to qualify for unemployment benefits by law; (2) the percentage of the worker's monthly salary deducted by law to cover unemployment benefits; (3) the waiting period for unemployment benefits; and (4) the percentage of the net salary covered by the net unemployment benefits in case of a one-year unemployment spell.     ,index_unem2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social security laws index,"Measures social security benefits as the average of: (1) Old age, disability and death benefits; (2) Sickness and health benefits; and (3) Unemployment benefits. ",index_socseca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor discrimination on grounds of race is expressly prohibited by law,"Equals 1 if there is an affirmative statement prohibiting discrimination on the grounds of race, color or ethnicity in: (1) the constitution; (2) the labor code; (3) a law dealing specifically with racial equality. The variable equals zero otherwise.  A general statement regarding the equality of citizens is not considered an affirmative statement.",dis_race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor discrimination on grounds of gender is expressly prohibited by law,Equals 1 if there is an affirmative statement prohibiting discrimination on the grounds of sex in: (1) the constitution; (2) the labor code; (3) a law dealing specifically with the equality of the sexes. The variable equals zero otherwise.  We consider an affirmative statement as one which expresses the equality of man and woman or the prohibition of discrimination based on sex or gender. A general statement regarding the equality of citizens is not considered an affirmative statement.,dis_sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statutory duration of maternity leave with 100% earnings,"Measures the length of the statutory duration of maternity leave for normal delivery/birth of a normal child with 100% of earnings.  The variable is normalized from 0 to 1, where higher values mean longer maternity leave (higher protection). Equals zero if maternity leave is unpaid. If payment for maternity leave is less than 100% of previous wages, the time is reduced proportionally. The highest observation in our sample is 12 months and the lowest observation is 0. Source: ILO, Conditions of Work Digest [1994]. ",maternityn2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum working age,"Measures the age at which a child can be employed in an apprenticeship or in a full-time, non-farm, non-hazardous, non-night time job outside of the family business without requiring the permission of a public entity. The variable is normalized from 0 to 1, where higher values mean higher protection. The highest value in our sample is 18 years and the lowest is 12 years. Source: U.S. State Department, Country Reports on Human Rights Practices [1998] and U.S. Department of Labor, Findings on the worst Forms of Child Labor [2002]. ",minwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
